SampleName,MATH,LOH,HRD,ploidy,purity,NEO,MSI
TCGA-44-6778-01,40.66475869,0.318128319,38,3.27,0.25,21,0.3067
TCGA-05-4420-01,46.27317286,0.167555167,46,3.49,0.59,6,0.291
TCGA-64-1679-01,41.19730533,0.351250718,21,3.34,0.26,21,0.3127
TCGA-49-6744-01,55.12231041,0.166932797,26,1.9,0.37,1,0.2967
TCGA-55-6982-01,32.31775862,0.201890494,19,2.61,0.25,20,0.2939
TCGA-NJ-A4YI-01,38.23900452,0.141840636,22,3.62,0.58,34,0.3335
TCGA-73-4666-01,54.99967742,0.3060859,17,3.2,0.45,38,0.2944
TCGA-MN-A4N1-01,71.6190357,0.319518034,64,4.7,0.48,61,0.3314
TCGA-55-7911-01,40.7096496,0.056378287,12,4.05,0.23,5,0.3558
TCGA-55-A4DG-01,73.16727273,0.265628546,38,3.7,0.41,122,0.335
TCGA-L9-A5IP-01,35.53996422,0.701497284,32,2.64,0.53,29,0.3419
TCGA-73-4662-01,52.47690722,0.262677949,36,3,0.48,4,0.2984
TCGA-55-6712-01,58.28827486,0.174340424,27,3.38,0.29,16,0.3013
TCGA-97-7553-01,22.64759114,0.657683185,16,1.44,0.29,11,0.2731
TCGA-49-AARE-01,49.08608108,0.273717866,35,2.78,0.42,141,0.3338
TCGA-50-8460-01,26.68811146,0.142927971,8,1.93,0.42,4,0.3409
TCGA-50-5933-01,45.47123263,0.119874654,25,2.82,0.3,22,0.2962
TCGA-44-6774-01,31.70766514,0.118268127,14,2.07,0.45,7,0.2954
TCGA-73-4670-01,53.47654434,0.40725587,27,2.91,0.62,41,0.2934
TCGA-55-A48Z-01,54.41191919,0.255594183,29,3,0.41,2,0.3062
TCGA-75-7031-01,47.55509434,0.140008941,44,3.86,0.49,35,0.3033
TCGA-44-A47A-01,71.10428571,0.025891455,16,3.67,0.34,6,0.3226
TCGA-05-4398-01,63.46078049,0.322095124,47,4.83,0.33,79,0.3117
TCGA-67-3773-01,22.97805641,0.102275623,12,1.96,0.7,9,0.2811
TCGA-64-5781-01,39.04949906,0.336142855,15,1.91,0.38,55,0.2985
TCGA-97-7552-01,41.48428846,0.050542578,4,1.95,0.18,2,0.3059
TCGA-49-AARN-01,62.59866667,0.169671308,20,1.84,0.43,27,0.3164
TCGA-44-3919-01,42.74915486,0.108579001,16,1.94,0.51,4,0.2725
TCGA-99-8032-01,48.8209697,0.119195769,22,3.74,0.31,40,0.3283
TCGA-55-A491-01,55.69078821,0.30024751,39,2.57,0.45,20,0.3009
TCGA-50-6595-01,60.91671952,0.37521903,12,2.43,0.22,1,0.3005
TCGA-95-A4VP-01,60.64096618,0.39967161,24,2.73,0.3,7,0.3285
TCGA-55-8302-01,54.02588763,0.426561437,19,1.78,0.46,13,0.3126
TCGA-44-4112-01,34.25843874,0.139349224,20,2.13,0.57,66,0.2866
TCGA-05-4430-01,47.18810946,0.186389597,20,3.49,0.2,10,0.2825
TCGA-75-7027-01,46.4814523,0.305157465,10,3.09,0.62,14,0.3008
TCGA-44-2668-01,39.39275362,0.235322367,33,2.13,0.3,11,0.2747
TCGA-55-8507-01,55.9791762,0.259496438,46,2.72,0.64,40,0.3629
TCGA-69-8254-01,32.31895852,0.051937247,8,1.95,0.41,1,0.3148
TCGA-78-8640-01,46.42484848,0.233853995,49,2.72,0.35,19,0.323
TCGA-69-7979-01,54.17482479,0.274505259,56,4.57,0.53,23,0.351
TCGA-55-7573-01,51.74087795,0.326007617,29,3.2,0.33,10,0.3036
TCGA-49-4506-01,41.60464438,0.3265619,9,2.67,0.25,6,0.2991
TCGA-05-4402-01,54.35717879,0.198278382,21,3.24,0.44,29,0.2803
TCGA-44-8119-01,71.24889706,0.258006914,35,4.63,0.55,51,0.3525
TCGA-55-7724-01,38.88191176,0.319593553,16,1.74,0.28,1,0.3507
TCGA-44-6776-01,26.69826519,0.123306711,14,1.95,0.65,25,0.3029
TCGA-49-4514-01,31.71156785,0.292225694,31,1.79,0.35,22,0.3006
TCGA-05-4396-01,29.40105744,0.250217195,13,1.86,0.82,58,0.2819
TCGA-55-8204-01,30.26975,0.323892255,22,1.96,0.34,1,0.3441
TCGA-75-6205-01,55.44899626,0.519395539,10,1.4,0.27,1,0.2866
TCGA-62-A46O-01,48.35392912,0.25130418,62,2.93,0.82,104,0.3242
TCGA-78-7155-01,62.04868671,0.493969313,78,2.5,0.82,52,0.3151
TCGA-62-A472-01,46.67090348,0.247608995,15,3.57,0.4,9,0.3272
TCGA-NJ-A55R-01,42.10976335,0.145618127,18,3.5,0.23,3,0.3064
TCGA-62-8395-01,62.72538462,0.168101632,22,1.9,0.65,16,0.3261
TCGA-95-7567-01,54.30769231,0.244059618,42,2.65,0.53,60,0.4503
TCGA-50-5051-01,56.90014107,0.135963229,7,2.96,0.59,4,0.3028
TCGA-55-A48Y-01,46.05139681,0.163097109,23,1.95,0.36,7,0.3259
TCGA-86-A456-01,46.45769006,0.243760981,25,1.76,0.36,22,0.3277
TCGA-50-5068-01,25.87556604,0.426052669,14,2.91,0.24,4,0.3108
TCGA-NJ-A55A-01,32.41526882,0.003815418,2,2.03,0.21,5,0.3278
TCGA-J2-A4AG-01,39.19821973,0.078100664,8,2.01,0.31,16,0.32
TCGA-05-4405-01,66.73143759,0.293804676,21,3.21,0.38,34,0.3071
TCGA-86-7955-01,52.92429612,0.48237321,41,3.16,0.73,11,0.3329
TCGA-50-6673-01,70.90333668,0.125995847,16,3.74,0.35,9,0.2908
TCGA-55-7727-01,57.99702479,0.243450053,24,1.91,0.56,9,0.3554
TCGA-55-8510-01,48.68610815,0.420106238,42,2.95,0.28,1,0.3384
TCGA-MP-A4T8-01,51.66636364,0.134370131,32,3.17,0.59,6,0.3315
TCGA-86-8279-01,66.36764552,0.501762112,40,5.48,0.5,18,0.341
TCGA-55-A494-01,55.9184915,0.067338196,22,3.69,0.81,13,0.3189
TCGA-75-5125-01,58.91384211,0.317542899,28,3.69,0.31,12,0.3003
TCGA-55-8615-01,67.59631699,0.274210622,56,5.23,0.57,3,0.3269
TCGA-MP-A4TF-01,57.99928538,0.375859288,52,4.86,0.29,7,0.3514
TCGA-55-6979-01,50.31367034,0.372471703,11,1.73,0.33,10,0.2926
TCGA-86-A4JF-01,43.19564698,0.07778893,19,3.59,0.25,301,0.5047
TCGA-86-7701-01,62.84310968,0.292001546,26,2.97,0.42,15,0.3447
TCGA-62-8398-01,47.4432,0.208575697,19,3.2,0.5,5,0.3196
TCGA-L9-A443-01,55.068,0.133534315,30,3.54,0.48,14,0.3265
TCGA-78-8660-01,41.16406165,0.229639385,24,1.96,0.33,10,0.3233
TCGA-78-7148-01,50.56763425,0.196386333,6,1.81,0.6,30,0.3143
TCGA-67-6215-01,45.88991173,0.061443015,10,2.25,0.69,2,0.2956
TCGA-55-A490-01,54.17192308,0.270040637,54,3.34,0.58,99,0.3394
TCGA-69-7974-01,54.52711764,0.344192872,27,3.55,0.29,26,0.3588
TCGA-49-AAR4-01,43.40089744,0.231596505,21,1.84,0.22,73,0.3241
TCGA-05-4418-01,35.71226277,0.13732873,5,2,0.55,13,0.2744
TCGA-35-4123-01,37.58585125,0.2458788,23,2.01,0.4,12,0.2877
TCGA-55-6969-01,45.85227481,0.348306764,38,2.59,0.25,57,0.2795
TCGA-91-8497-01,67.6601396,0.099091335,20,1.97,0.45,2,0.3523
TCGA-62-A470-01,58.06407465,0.277503729,30,2.99,0.59,19,0.3313
TCGA-53-A4EZ-01,44.28913588,0.401707187,44,3.08,0.47,13,0.3105
TCGA-78-7162-01,52.01056452,0.054165864,9,2.13,0.27,4,0.3088
TCGA-62-A46Y-01,34.86424559,0.081690444,14,2.01,0.48,36,0.3295
TCGA-62-A46R-01,56.67233161,0.334334813,20,2.88,0.42,14,0.3214
TCGA-L9-A8F4-01,45.37453798,0.373988989,37,3.05,0.32,54,0.3245
TCGA-55-7726-01,45.53606792,0.300213997,24,4.09,0.26,3,0.3484
TCGA-49-4512-01,69.27591898,0.369240779,25,4.56,0.32,8,0.307
TCGA-73-A9RS-01,45.47365326,0.274588747,45,2.78,0.61,67,0.35
TCGA-75-5147-01,49.21991903,0.195591139,28,3.29,0.4,3,0.2962
TCGA-44-7671-01,40.74320611,0.113259814,12,3.03,0.58,46,0.3047
TCGA-38-4631-01,57.13026316,0.277878146,42,3.1,0.49,94,0.3091
TCGA-75-6211-01,53.11054464,0.33233202,39,3.09,0.39,16,0.2992
TCGA-55-1594-01,66.90489156,0.313601151,33,3.26,0.55,6,0.2912
TCGA-64-5774-01,56.73374207,0.343575501,42,2.86,0.76,5,0.3093
TCGA-50-5941-01,54.75027875,0.116500768,29,3.12,0.27,10,0.292
TCGA-44-2662-01,50.40104218,0.26197167,34,3.19,0.26,5,0.2713
TCGA-55-7995-01,52.0349658,0.482008595,50,2.53,0.49,18,0.3538
TCGA-95-7043-01,51.25140594,0.53727631,54,3.73,0.76,324,0.3486
TCGA-NJ-A4YP-01,41.78596743,0.087415924,8,4.21,0.23,17,0.3221
TCGA-78-7149-01,71.94970588,0.181079086,14,3.38,0.6,8,0.3146
TCGA-MP-A4TC-01,41.5128,0.635737764,23,1.47,0.45,9,0.3095
TCGA-97-A4M5-01,27.44012608,0.224546847,21,1.83,0.25,1,0.2956
TCGA-99-8028-01,43.56258468,0.066193501,13,2.1,0.18,2,0.3429
TCGA-67-6217-01,66.99155556,0.178847791,35,6.17,0.25,6,0.2965
TCGA-44-A47B-01,54.27437459,0.087709117,14,3.26,0.5,2,0.3287
TCGA-38-4628-01,56.37891934,0.358656287,46,4.98,0.5,78,0.3118
TCGA-05-4250-01,58.53265011,0.329256668,14,3.19,0.5,20,0.3059
TCGA-67-3774-01,28.56385321,0.206434763,10,1.87,0.48,0,0.2771
TCGA-80-5608-01,47.85524251,0.241538684,26,3.13,0.48,9,0.2893
TCGA-05-4389-01,62.81453012,0.244015244,45,3.23,0.48,30,0.2907
TCGA-75-6203-01,39.3565001,0.036790146,5,2.23,0.26,0,0.2893
TCGA-55-6981-01,51.99395833,0.190585748,21,3.4,0.26,6,0.275
TCGA-55-7903-01,50.72052632,0.182188544,23,1.93,0.64,24,0.3455
TCGA-62-8394-01,63.39393103,0.269550492,30,3.1,0.53,3,0.3238
TCGA-49-4488-01,59.4790161,0.361328598,59,4.96,0.45,12,0.2967
TCGA-78-7537-01,22.26512051,0.019125874,5,2.08,0.74,58,0.2959
TCGA-80-5611-01,63.05310345,0.371483448,54,3.08,0.51,13,0.2913
TCGA-55-6972-01,81.56006796,0.121876314,21,3.68,0.83,13,0.2864
TCGA-97-7941-01,38.22864642,0.040671137,3,1.97,0.36,5,0.3364
TCGA-91-6840-01,49.66344828,0.355331245,39,2.84,0.62,1,0.2902
TCGA-69-7978-01,50.85246377,0.26220781,25,3.06,0.2,55,0.3431
TCGA-50-5930-01,38.62235294,0.994437068,24,2.08,0.95,48,0.2831
TCGA-93-8067-01,37.91941346,0.325093628,40,4.4,0.32,9,0.3262
TCGA-44-A479-01,55.90589505,0.184723202,31,2.14,0.36,43,0.3191
TCGA-55-8087-01,91.8999951,0.055803285,9,1.98,0.82,1,0.3177
TCGA-MP-A4SW-01,55.73797027,0.215211919,39,2.03,0.46,24,0.3122
TCGA-55-8512-01,52.82804588,0.172946818,16,1.94,0.35,2,0.318
TCGA-50-6592-01,54.04795987,0.549881614,33,2.38,0.28,1,0.2877
TCGA-55-6975-01,47.57682984,0.325768311,24,1.69,0.46,4,0.2973
TCGA-S2-AA1A-01,42.76189753,0.098629297,12,2.41,0.32,12,0.3278
TCGA-55-8511-01,41.56146504,0.335762815,64,3.18,0.19,40,0.3413
TCGA-05-4434-01,69.59142857,0.120467855,19,1.97,0.45,5,0.2715
TCGA-55-8092-01,55.17990676,0.317949771,38,3.24,0.38,23,0.319
TCGA-44-7661-01,37.97287093,0.067938218,6,2.12,0.29,26,0.3087
TCGA-05-4426-01,36.16423042,0.109050071,14,1.99,0.7,3,0.2836
TCGA-05-4390-01,46.34603256,0.054043287,27,3.89,0.57,51,0.2876
TCGA-64-5815-01,34.3262069,0.199255801,31,1.99,0.35,5,0.2793
TCGA-69-7761-01,42.36,0.068986485,11,3.68,0.23,2,0.3157
TCGA-55-8301-01,53.4873122,0.397799691,22,2.2,0.26,17,0.3329
TCGA-44-A4SU-01,49.42,0.468764716,29,2.07,0.59,3,0.3233
TCGA-69-7765-01,45.35011765,0.140460627,14,2.02,0.41,18,0.3239
TCGA-05-4433-01,22.61807386,0.146090966,17,1.89,0.62,0,0.3053
TCGA-55-8508-01,49.73489857,0.275975862,36,2.94,0.38,101,0.3292
TCGA-50-5044-01,38.99378453,0.095604189,6,2.05,0.23,2,0.313
TCGA-05-4384-01,29.652,0.019193188,8,2.03,0.49,4,0.285
TCGA-O1-A52J-01,40.70295875,0.279037849,29,3.44,0.5,15,0.322
TCGA-78-7220-01,52.96962929,0.442615312,41,2.71,0.61,21,0.317
TCGA-05-4422-01,29.62800971,0.130803534,20,2.06,0.62,9,0.2843
TCGA-44-6779-01,57.43947262,0.480642699,33,1.58,0.6,6,0.2979
TCGA-86-8672-01,60.40562229,0.413833736,36,2.74,0.32,11,0.3472
TCGA-55-6983-01,52.22795455,0.107539723,2,2.05,0.27,19,0.3045
TCGA-91-8499-01,58.39027169,0.378744712,65,2.86,0.77,13,0.3308
TCGA-91-6836-01,58.36466863,0.229022182,42,3.4,0.67,14,0.3153
TCGA-NJ-A4YG-01,57.59926829,0.154349597,12,2.34,0.32,0,0.3188
TCGA-73-4658-01,42.36,0.127810791,17,2.14,0.29,14,0.3074
TCGA-55-6987-01,48.41142857,0.579516982,17,2.31,0.16,9,0.3051
TCGA-78-7152-01,41.35142857,0.093553433,18,1.99,0.55,1,0.3139
TCGA-55-8096-01,58.18075647,0.463144296,24,2.73,0.25,0,0.3506
TCGA-75-5122-01,50.78519337,0.262836464,17,1.87,0.32,35,0.2898
TCGA-50-5931-01,31.96931366,0.23670489,18,1.92,0.86,13,0.3013
TCGA-49-AARO-01,40.00042659,0.185059144,37,3.08,0.28,32,0.3115
TCGA-44-2655-01,34.33324855,0.072229609,5,2.08,0.33,7,0.2747
TCGA-73-4668-01,51.62579463,0.29696047,35,3.19,0.53,23,0.2789
TCGA-91-6831-01,62.34312734,0.289507135,39,3.3,0.5,42,0.3197
TCGA-L9-A444-01,56.05782278,0.436631551,46,2.77,0.37,26,0.3278
TCGA-05-5425-01,59.38411189,0.959189102,21,1.08,0.71,4,0.3001
TCGA-44-6775-01,38.49590286,0.258209626,27,3.36,0.27,11,0.3101
TCGA-75-7025-01,59.75785714,0.12158575,7,3.59,0.34,0,0.296
TCGA-05-5429-01,43.15549296,0.134172434,14,2.06,0.82,4,0.3031
TCGA-99-7458-01,32.22522981,0.273759506,12,1.88,0.36,71,0.2904
TCGA-97-7546-01,35.26149265,0.19262988,11,1.85,0.67,7,0.3147
TCGA-67-3772-01,74.87878788,0.27249992,12,1.84,0.45,10,0.2699
TCGA-05-4395-01,53.86113617,0.418150203,36,3.22,0.61,1,0.2956
TCGA-91-7771-01,62.72538462,0.129294501,36,5,0.32,13,0.3602
TCGA-55-6984-01,32.45928994,0.057084949,12,4.06,0.81,8,0.3082
TCGA-44-3918-01,53.99707134,0.408552823,58,1.8,0.45,80,0.3106
TCGA-50-8459-01,37.38563149,0.119093284,7,1.9,0.29,2,0.3327
TCGA-69-7980-01,68.42163064,0.489961221,49,3.76,0.55,72,0.3681
TCGA-50-5939-01,33.2761067,0.281796719,35,1.75,0.38,4,0.3341
TCGA-75-5126-01,37.065,0.206278857,17,2.29,0.24,60,0.2958
TCGA-50-6594-01,35.18543611,0.319659618,47,3.61,0.6,75,0.3083
TCGA-MP-A5C7-01,32.86896226,0.128862309,14,2.01,0.87,2,0.3234
TCGA-44-5645-01,34.49938482,0.151565615,10,2.38,0.54,0,0.3481
TCGA-50-5935-01,48.88028926,0.155894057,13,5.81,0.39,5,0.3089
TCGA-55-7914-01,38.10795455,0.195574162,26,1.92,0.56,23,0.3043
TCGA-55-7576-01,64.77290441,0.344531094,53,2.84,0.47,6,0.3078
TCGA-73-4676-01,33.3585,0.756497063,20,1.31,0.77,25,0.3162
TCGA-78-7166-01,24.41929412,0.029535525,12,2.04,0.63,10,0.3093
TCGA-83-5908-01,45.89,0.428072931,16,1.66,0.4,11,0.3239
TCGA-50-5049-01,44.75773585,0.494435073,26,1.92,0.26,102,0.3052
TCGA-44-3396-01,41.49203276,0.046878265,10,2.13,0.24,16,0.3466
TCGA-97-8172-01,44.97291727,0.046176521,7,3.92,0.32,18,0.3222
TCGA-69-8255-01,55.2939196,0.341721685,50,3.27,0.37,86,0.3363
TCGA-62-A46U-01,45.84355263,0.168371651,34,3.73,0.25,0,0.3108
TCGA-97-8176-01,36.78406419,0.175482967,13,1.91,0.53,3,0.3459
TCGA-86-8358-01,50.94061538,0.297942785,70,3.55,0.72,71,0.3391
TCGA-05-4415-01,34.41868882,0.131609141,24,3.59,0.67,4,0.3033
TCGA-55-7281-01,46.67269229,0.21529155,12,3.07,0.42,42,0.2873
TCGA-78-7161-01,59.304,0.142061712,60,3.36,0.75,5,0.2989
TCGA-49-4507-01,49.34955096,0.280656292,42,2.69,0.35,5,0.2769
TCGA-55-8621-01,42.99217271,0.034226821,8,2.05,0.2,13,0.3078
TCGA-55-6970-01,39.63117253,0.694931375,16,1.36,0.56,12,0.3069
TCGA-75-6207-01,40.06908152,0.280728544,35,1.9,0.64,12,0.2953
TCGA-55-8205-01,50.38092517,0.260204275,16,3.33,0.22,219,0.3331
TCGA-69-7763-01,39.19517241,0.358400101,23,2.64,0.35,1,0.3202
TCGA-55-7913-01,51.36126206,0.26471975,32,2.94,0.35,18,0.3381
TCGA-62-8397-01,58.42249198,0.131545398,14,3.43,0.69,2,0.3149
TCGA-73-4659-01,49.51622682,0.122878291,16,3.5,0.33,12,0.2919
TCGA-91-A4BC-01,54.15170213,0.493724496,52,2.55,0.22,25,0.3357
TCGA-97-8547-01,35.52813269,0.280605936,31,1.88,0.48,1,0.3431
TCGA-97-8175-01,47.64691906,0.075193823,11,2.07,0.43,12,0.3039
TCGA-86-8075-01,67.03826146,0.325554595,29,4.21,0.3,8,0.2979
TCGA-55-6985-01,39.19517241,0.308468889,24,1.86,0.39,34,0.3005
TCGA-55-A48X-01,40.28116643,0.314712463,19,1.78,0.28,27,0.3152
TCGA-44-2657-01,37.94124113,0.402742244,28,1.71,0.34,1,0.2817
TCGA-95-7562-01,55.5975,0.414102533,23,3.68,0.55,28,0.3409
